Image,Id,is_upsampling
0000e88ab.jpg,w_f48451c,False
0001f9222.jpg,w_c3d896a,False
00029d126.jpg,w_20df2c5,False
00050a15a.jpg,new_whale,False
0005c1ef8.jpg,new_whale,False
0006e997e.jpg,new_whale,False
000a6daec.jpg,w_dd88965,False
000f0f2bf.jpg,new_whale,False
0016b897a.jpg,w_64404ac,False
001c1ac5f.jpg,w_a6f9d33,False
001cae55b.jpg,w_581ba42,False
001d7450c.jpg,new_whale,False
00200e115.jpg,new_whale,False
00245a598.jpg,new_whale,False
002b4615d.jpg,new_whale,False
002f99f01.jpg,new_whale,False
00355ff28.jpg,w_cb622a2,False
00357e37a.jpg,w_d3b46e7,False
003795857.jpg,new_whale,False
0041880bf.jpg,new_whale,False
0043da555.jpg,new_whale,False
00442c882.jpg,w_8cad422,False
00464ff65.jpg,new_whale,False
004775679.jpg,w_13ae3d4,False
004ae9e26.jpg,new_whale,False
004c0f43b.jpg,new_whale,False
004e8ad5b.jpg,w_3de579a,False
004f87702.jpg,w_1d0830e,False
0050ef29d.jpg,w_2ba6978,False
00514c876.jpg,w_8dddbee,False
0052ce2f5.jpg,w_2365d55,False
00537ec91.jpg,w_3879fa0,False
00570db6b.jpg,w_9c506f6,False
005ce3100.jpg,new_whale,False
00600ce17.jpg,new_whale,False
006017ddf.jpg,w_8a6a8d5,False
0060f764a.jpg,w_662530e,False
006500b3d.jpg,w_a8b34a0,False
006506edf.jpg,new_whale,False
0067b3a20.jpg,w_c0d11da,False
006bdc6ff.jpg,new_whale,False
00713060e.jpg,w_50e8d58,False
007218187.jpg,new_whale,False
0073118da.jpg,w_3881f28,False
007a7846f.jpg,w_9ad3551,False
007b62e05.jpg,w_cee684e,False
007f3eb46.jpg,w_41d24c6,False
008124524.jpg,w_8a235b6,False
0084fe40b.jpg,w_2e231f4,False
0085064af.jpg,new_whale,False
0085a6bd0.jpg,new_whale,False
00869b59e.jpg,new_whale,False
008bf89fc.jpg,w_6822dbc,False
008ebc50d.jpg,w_df86a42,False
00910010d.jpg,w_700ebb4,False
00917baa4.jpg,new_whale,False
0093454b6.jpg,w_d892cd9,False
009431af0.jpg,w_7a4b2f9,False
009589b45.jpg,w_bc285a6,False
0095fe89c.jpg,new_whale,False
00961802f.jpg,w_c70fbcd,False
009687166.jpg,w_778e474,False
0096c8ff3.jpg,w_f3252ff,False
009c45bc7.jpg,w_2df85e7,False
00a3dd76f.jpg,w_c7cda47,False
00a46c559.jpg,new_whale,False
00a4de95e.jpg,w_62bb54b,False
00a70e649.jpg,new_whale,False
00a9dc47d.jpg,w_c6c89db,False
00aae723d.jpg,new_whale,False
00b7ffb8a.jpg,w_1531bf5,False
00b92e9bf.jpg,w_4e1e04d,False
00bc4dade.jpg,w_d6ca28d,False
00c59bce9.jpg,w_1260eb5,False
00caa5c60.jpg,w_fccccec,False
00cf9982e.jpg,w_acd217a,False
00d07df97.jpg,w_5650932,False
00d1615b1.jpg,new_whale,False
00d43f154.jpg,w_c98aaad,False
00d4a4967.jpg,new_whale,False
00d641885.jpg,w_dd944b7,False
00d6cbcbf.jpg,w_6f0cbe3,False
00d7dc401.jpg,w_6cfa650,False
00d831b06.jpg,w_6e209a8,False
00d9e8278.jpg,w_1ea5d96,False
00dcd026f.jpg,w_914b110,False
00de0f4c8.jpg,new_whale,False
00ded1101.jpg,new_whale,False
00e059776.jpg,new_whale,False
00e4afee9.jpg,new_whale,False
00e68dc59.jpg,w_bf33ddf,False
00e9e5122.jpg,w_0369a5c,False
00eaedfab.jpg,w_13c9a17,False
00ec09075.jpg,new_whale,False
00ec13a19.jpg,w_3ff114c,False
00f0bde81.jpg,w_c896384,False
00f5927ae.jpg,new_whale,False
00f5aba71.jpg,new_whale,False
00fee3975.jpg,w_a9304b9,False
010262224.jpg,w_48fa708,False
01043c88f.jpg,w_b44e89d,False
01043cc4b.jpg,new_whale,False
01070510c.jpg,w_b7e3a9f,False
01078982f.jpg,w_691b684,False
0108c3e2b.jpg,new_whale,False
010a1f0eb.jpg,new_whale,False
010d37b13.jpg,new_whale,False
011258703.jpg,w_8be8406,False
0117ac323.jpg,w_4516d31,False
0118a64b8.jpg,w_dd00c66,False
01216c238.jpg,w_396c12b,False
01237f1ce.jpg,new_whale,False
0124d2989.jpg,w_03270e3,False
01324f822.jpg,w_fbc7895,False
0135bf774.jpg,new_whale,False
0138b56d1.jpg,w_5597026,False
0139248b7.jpg,w_8a71ca4,False
013935e54.jpg,w_a8c2847,False
01396f4d1.jpg,new_whale,False
01425e516.jpg,w_581ba42,False
0145d6294.jpg,w_9739508,False
0148ba553.jpg,w_ac97190,False
0148dbdd2.jpg,new_whale,False
014a7cdf0.jpg,new_whale,False
014c052b5.jpg,w_ddb62c2,False
014c0deb5.jpg,w_13c1b55,False
014c130f2.jpg,new_whale,False
0150758c7.jpg,w_5a9abcf,False
0150f16ec.jpg,new_whale,False
015889aa3.jpg,new_whale,False
01598711e.jpg,w_3de579a,False
0159c02d4.jpg,w_7571b52,False
015a0c58d.jpg,w_40a8585,False
015b868a1.jpg,w_71af602,False
016173748.jpg,new_whale,False
0163ab035.jpg,w_6189444,False
0165c60f3.jpg,w_deacb11,False
016768c94.jpg,w_9769f0b,False
016791b76.jpg,w_f74a89e,False
01699beb5.jpg,w_263bd97,False
016aa69cf.jpg,w_f1cd92c,False
016ac2f79.jpg,w_688590b,False
016af7b1e.jpg,new_whale,False
016dfbd1e.jpg,w_77150d0,False
016f26c74.jpg,w_08630fd,False
0172a0826.jpg,w_89f521e,False
0172cb96f.jpg,w_0ee9ae5,False
0173fc207.jpg,new_whale,False
01751644e.jpg,w_12e7c23,False
0175e8d3f.jpg,w_d6283ba,False
01768ab81.jpg,new_whale,False
01793bd75.jpg,new_whale,False
0179e07f2.jpg,w_c8bbb43,False
017b7d5e9.jpg,new_whale,False
017bd9a69.jpg,w_191bce3,False
017c8297e.jpg,new_whale,False
017f9cf06.jpg,new_whale,False
018345b71.jpg,new_whale,False
0183ee449.jpg,w_f793b1f,False
0187bfdff.jpg,w_a491df7,False
018953e38.jpg,new_whale,False
018a44909.jpg,new_whale,False
018b81a56.jpg,w_0b1e4a6,False
018e22952.jpg,w_e6450bc,False
01917b508.jpg,w_4846b27,False
01919fc42.jpg,new_whale,False
0197be7fd.jpg,w_2e374c0,False
0198f6931.jpg,w_3e4b155,False
019b53508.jpg,w_89f6097,False
019e9a958.jpg,w_7e56d66,False
01aa167a0.jpg,new_whale,False
01af1e5f9.jpg,new_whale,False
01affda48.jpg,w_c875e45,False
01b7e3f36.jpg,w_249346b,False
01bf61268.jpg,new_whale,False
01bfc5ce9.jpg,new_whale,False
01c26d722.jpg,new_whale,False
01c3bf950.jpg,new_whale,False
01c602e06.jpg,w_dd88965,False
01c75e4c0.jpg,new_whale,False
01c941173.jpg,new_whale,False
01c98f7c1.jpg,w_396c12b,False
01c9fe65c.jpg,new_whale,False
01cd70a58.jpg,new_whale,False
01cd7a357.jpg,new_whale,False
01cea07ff.jpg,new_whale,False
01d122634.jpg,w_f0eddab,False
01d89cbcf.jpg,new_whale,False
01d8fc465.jpg,new_whale,False
01dc06663.jpg,new_whale,False
01dcb420f.jpg,w_4f3cebf,False
01dea185c.jpg,new_whale,False
01dfca144.jpg,w_a6df3a5,False
01e2ca8ba.jpg,w_edce644,False
01e44668c.jpg,new_whale,False
01e4842aa.jpg,w_91b96c1,False
01e58e831.jpg,w_d9a3c6e,False
